time,open,high,low,close,tick_volume
1778091300,1.35913,1.35936,1.35882,1.35902,2263
1778092200,1.35903,1.35933,1.35894,1.35908,1877
1778093100,1.35908,1.35908,1.35788,1.35837,3176
1778094000,1.35837,1.35972,1.35816,1.35948,2693
1778094900,1.35948,1.35995,1.35924,1.35961,1996
1778095800,1.35961,1.35964,1.35872,1.35880,1882
1778096700,1.35879,1.35936,1.35853,1.35925,2272
1778097600,1.35925,1.35946,1.35898,1.35911,2135
1778098500,1.35911,1.35940,1.35901,1.35913,1476
1778099400,1.35912,1.35934,1.35904,1.35913,1326
1778100300,1.35913,1.35974,1.35891,1.35941,1768
1778101200,1.35940,1.35972,1.35931,1.35966,1741
1778102100,1.35966,1.35993,1.35955,1.35961,1428
1778103000,1.35961,1.35961,1.35922,1.35925,1499
1778103900,1.35925,1.35957,1.35921,1.35933,1996
1778104800,1.35932,1.35953,1.35922,1.35945,1233
1778105700,1.35946,1.35958,1.35939,1.35941,832
1778106600,1.35941,1.35942,1.35904,1.35906,765
1778107500,1.35906,1.35943,1.35897,1.35936,806
1778108400,1.35945,1.35950,1.35939,1.35950,74
1778109300,1.35946,1.35985,1.35931,1.35955,264
1778110200,1.35955,1.35959,1.35919,1.35939,526
1778111100,1.35939,1.35965,1.35912,1.35934,1552
1778112000,1.35925,1.35946,1.35922,1.35939,312
1778112900,1.35939,1.35949,1.35920,1.35931,383
1778113800,1.35931,1.35946,1.35928,1.35946,634
1778114700,1.35946,1.35952,1.35937,1.35947,412
1778115600,1.35947,1.35967,1.35940,1.35964,395
1778116500,1.35964,1.35966,1.35932,1.35936,349
1778117400,1.35936,1.35944,1.35930,1.35940,482
1778118300,1.35940,1.35951,1.35908,1.35913,694
1778119200,1.35913,1.35993,1.35901,1.35993,3656
1778120100,1.35992,1.35993,1.35903,1.35917,2287
1778121000,1.35917,1.35931,1.35900,1.35920,2402
1778121900,1.35919,1.35931,1.35906,1.35923,1838
1778122800,1.35922,1.36021,1.35904,1.36000,2383
1778123700,1.36000,1.36043,1.35998,1.36042,3008
1778124600,1.36042,1.36080,1.36026,1.36073,2327
1778125500,1.36074,1.36084,1.36044,1.36052,2069
1778126400,1.36052,1.36085,1.36016,1.36021,2309
1778127300,1.36022,1.36042,1.36009,1.36033,1972
1778128200,1.36033,1.36049,1.36014,1.36034,1923
1778129100,1.36034,1.36049,1.36029,1.36035,1666
1778130000,1.36035,1.36035,1.35992,1.35994,1215
1778130900,1.35994,1.36024,1.35991,1.35995,1272
1778131800,1.35995,1.35995,1.35961,1.35974,1668
1778132700,1.35974,1.35975,1.35929,1.35929,1385
1778133600,1.35930,1.35963,1.35914,1.35954,1458
1778134500,1.35954,1.35998,1.35953,1.35984,1258
1778135400,1.35985,1.36013,1.35979,1.35990,1211
1778136300,1.35990,1.35998,1.35966,1.35977,1193
1778137200,1.35975,1.36002,1.35966,1.35996,1216
1778138100,1.35997,1.35998,1.35951,1.35965,1240
1778139000,1.35963,1.35989,1.35962,1.35973,1572
1778139900,1.35974,1.35982,1.35942,1.35949,1565
1778140800,1.35948,1.35965,1.35920,1.35937,2522
1778141700,1.35936,1.35974,1.35926,1.35930,2573
1778142600,1.35931,1.36086,1.35911,1.36082,3354
1778143500,1.36079,1.36083,1.35977,1.36002,3099
1778144400,1.36001,1.36225,1.35999,1.36217,4373
1778145300,1.36218,1.36248,1.36144,1.36194,4259
1778146200,1.36194,1.36219,1.36145,1.36172,3574
1778147100,1.36173,1.36212,1.36151,1.36210,3332
1778148000,1.36210,1.36242,1.36191,1.36213,2881
1778148900,1.36213,1.36218,1.36147,1.36205,3529
1778149800,1.36205,1.36225,1.36179,1.36202,1919
1778150700,1.36202,1.36246,1.36190,1.36224,2105
1778151600,1.36224,1.36224,1.36175,1.36212,2519
1778152500,1.36211,1.36229,1.36180,1.36199,2246
1778153400,1.36199,1.36241,1.36193,1.36221,1948
1778154300,1.36221,1.36236,1.36178,1.36191,2389
1778155200,1.36191,1.36250,1.36171,1.36240,2417
1778156100,1.36240,1.36294,1.36231,1.36291,2276
1778157000,1.36291,1.36306,1.36251,1.36279,2245
1778157900,1.36279,1.36285,1.36200,1.36201,2941
1778158800,1.36201,1.36244,1.36124,1.36131,2145
1778159700,1.36131,1.36153,1.36095,1.36111,2211
1778160600,1.36111,1.36194,1.36106,1.36140,2339
1778161500,1.36140,1.36181,1.36119,1.36180,2222
1778162400,1.36181,1.36243,1.36180,1.36230,2886
1778163300,1.36229,1.36263,1.36171,1.36238,3085
1778164200,1.36240,1.36290,1.36211,1.36280,2507
1778165100,1.36280,1.36290,1.36225,1.36236,2997
1778166000,1.36236,1.36243,1.36183,1.36224,3986
1778166900,1.36224,1.36273,1.36211,1.36263,3054
1778167800,1.36263,1.36284,1.36203,1.36280,3692
1778168700,1.36281,1.36290,1.36156,1.36191,4519
1778169600,1.36192,1.36230,1.36139,1.36221,3920
1778170500,1.36220,1.36240,1.36167,1.36212,3086
1778171400,1.36215,1.36244,1.36157,1.36184,2995
1778172300,1.36184,1.36311,1.36179,1.36302,3932
1778173200,1.36302,1.36324,1.36253,1.36255,3648
1778174100,1.36255,1.36295,1.36096,1.36129,4422
1778175000,1.36129,1.36193,1.36121,1.36160,4247
1778175900,1.36160,1.36172,1.36071,1.36081,3800
1778176800,1.36080,1.36100,1.36006,1.36017,4160
1778177700,1.36017,1.36065,1.35970,1.36049,3914
1778178600,1.36049,1.36052,1.35965,1.35971,2877
1778179500,1.35971,1.35971,1.35907,1.35943,2665
1778180400,1.35942,1.35952,1.35896,1.35910,2614
1778181300,1.35910,1.35913,1.35761,1.35767,3944
1778182200,1.35767,1.35803,1.35690,1.35758,4911
1778183100,1.35757,1.35834,1.35734,1.35833,3487
1778184000,1.35831,1.35848,1.35787,1.35821,2931
1778184900,1.35821,1.35843,1.35812,1.35825,1990
1778185800,1.35824,1.35848,1.35715,1.35752,3134
1778186700,1.35752,1.35804,1.35701,1.35804,3851
1778187600,1.35807,1.35848,1.35758,1.35817,2993
1778188500,1.35817,1.35828,1.35676,1.35725,3698
1778189400,1.35725,1.35803,1.35722,1.35770,1735
1778190300,1.35769,1.35781,1.35620,1.35625,2854
1778191200,1.35624,1.35758,1.35612,1.35678,2401
1778192100,1.35679,1.35681,1.35616,1.35633,1171
1778193000,1.35632,1.35640,1.35521,1.35545,2463
1778193900,1.35548,1.35553,1.35481,1.35502,1796
