time,open,high,low,close,tick_volume
1756742400,1.35331,1.35447,1.35312,1.35445,591
1756743300,1.35444,1.35447,1.35371,1.35371,491
1756744200,1.35370,1.35415,1.35369,1.35391,487
1756745100,1.35390,1.35399,1.35355,1.35371,429
1756746000,1.35370,1.35436,1.35349,1.35406,528
1756746900,1.35405,1.35429,1.35380,1.35426,402
1756747800,1.35425,1.35475,1.35411,1.35433,391
1756748700,1.35434,1.35498,1.35359,1.35475,861
1756749600,1.35474,1.35489,1.35402,1.35432,640
1756750500,1.35433,1.35483,1.35381,1.35483,351
1756751400,1.35482,1.35492,1.35421,1.35429,363
1756752300,1.35430,1.35457,1.35416,1.35416,266
1756753200,1.35415,1.35435,1.35398,1.35430,295
1756754100,1.35429,1.35455,1.35420,1.35443,292
1756755000,1.35442,1.35455,1.35424,1.35434,222
1756755900,1.35433,1.35449,1.35416,1.35422,142
1756756800,1.35420,1.35428,1.35409,1.35412,120
1756757700,1.35411,1.35416,1.35403,1.35411,52
1756758600,1.35410,1.35423,1.35410,1.35412,75
1756759500,1.35411,1.35431,1.35409,1.35425,67
1756760400,1.35424,1.35425,1.35416,1.35417,69
1756761300,1.35418,1.35428,1.35409,1.35424,69
1756762200,1.35425,1.35437,1.35423,1.35434,93
1756763100,1.35432,1.35441,1.35424,1.35438,90
1756764000,1.35440,1.35452,1.35436,1.35450,71
1756764900,1.35451,1.35469,1.35444,1.35469,74
1756765800,1.35471,1.35483,1.35464,1.35483,49
1756766700,1.35484,1.35491,1.35473,1.35485,89
1756767600,1.35484,1.35497,1.35482,1.35493,46
1756768500,1.35494,1.35499,1.35488,1.35495,37
1756769400,1.35494,1.35497,1.35485,1.35490,44
1756770300,1.35490,1.35490,1.35469,1.35470,47
1756771200,1.35440,1.35442,1.35384,1.35389,30
1756772100,1.35389,1.35400,1.35384,1.35391,67
1756773000,1.35391,1.35404,1.35385,1.35403,119
1756773900,1.35403,1.35418,1.35381,1.35384,170
1756774800,1.35386,1.35478,1.35386,1.35477,108
1756775700,1.35477,1.35481,1.35456,1.35456,51
1756776600,1.35456,1.35462,1.35445,1.35461,39
1756777500,1.35461,1.35468,1.35438,1.35447,73
1756778400,1.35447,1.35456,1.35442,1.35443,54
1756779300,1.35444,1.35467,1.35443,1.35462,66
1756780200,1.35461,1.35471,1.35458,1.35466,51
1756781100,1.35468,1.35491,1.35464,1.35464,144
1756782000,1.35463,1.35482,1.35385,1.35394,394
1756782900,1.35393,1.35409,1.35378,1.35400,350
1756783800,1.35399,1.35410,1.35356,1.35374,281
1756784700,1.35376,1.35402,1.35353,1.35376,375
1756785600,1.35375,1.35397,1.35341,1.35378,323
1756786500,1.35376,1.35416,1.35362,1.35394,283
1756787400,1.35395,1.35413,1.35331,1.35358,659
1756788300,1.35359,1.35390,1.35348,1.35364,409
1756789200,1.35362,1.35363,1.35261,1.35261,547
1756790100,1.35262,1.35273,1.35238,1.35259,504
1756791000,1.35257,1.35302,1.35243,1.35301,362
1756791900,1.35299,1.35300,1.35261,1.35291,272
1756792800,1.35290,1.35302,1.35274,1.35276,332
1756793700,1.35277,1.35297,1.35268,1.35285,223
1756794600,1.35284,1.35284,1.35242,1.35255,252
1756795500,1.35254,1.35264,1.35245,1.35260,187
1756796400,1.35262,1.35266,1.35232,1.35233,157
1756797300,1.35234,1.35299,1.35231,1.35282,183
1756798200,1.35280,1.35292,1.35254,1.35287,254
1756799100,1.35285,1.35300,1.35268,1.35275,157
1756800000,1.35274,1.35309,1.35272,1.35283,180
1756800900,1.35282,1.35285,1.35214,1.35214,235
1756801800,1.35213,1.35265,1.35209,1.35234,369
1756802700,1.35236,1.35238,1.35204,1.35211,301
1756803600,1.35212,1.35273,1.35212,1.35253,473
1756804500,1.35254,1.35263,1.35214,1.35227,374
1756805400,1.35225,1.35336,1.35223,1.35256,406
1756806300,1.35255,1.35313,1.35244,1.35313,405
1756807200,1.35312,1.35331,1.34631,1.34640,1545
1756808100,1.34639,1.34795,1.34434,1.34435,2210
1756809000,1.34433,1.34491,1.34262,1.34403,2326
1756809900,1.34404,1.34416,1.33941,1.34031,2701
1756810800,1.34033,1.34129,1.33755,1.34077,2768
1756811700,1.34078,1.34207,1.33986,1.34029,1783
1756812600,1.34026,1.34341,1.34012,1.34246,1572
1756813500,1.34248,1.34258,1.34062,1.34135,998
1756814400,1.34134,1.34178,1.33947,1.33992,1212
1756815300,1.33993,1.34000,1.33814,1.33936,1177
1756816200,1.33935,1.34049,1.33892,1.33998,943
1756817100,1.33999,1.34056,1.33932,1.33994,1083
1756818000,1.34001,1.34016,1.33828,1.33987,1303
1756818900,1.33986,1.34007,1.33823,1.33855,1211
1756819800,1.33853,1.33967,1.33853,1.33905,999
1756820700,1.33906,1.33934,1.33715,1.33787,1155
1756821600,1.33786,1.33831,1.33693,1.33707,1347
1756822500,1.33706,1.33851,1.33705,1.33800,947
1756823400,1.33799,1.33838,1.33738,1.33775,673
1756824300,1.33774,1.33843,1.33725,1.33836,688
1756825200,1.33837,1.33972,1.33739,1.33761,1148
1756826100,1.33764,1.33770,1.33523,1.33523,1484
1756827000,1.33523,1.33573,1.33415,1.33435,1569
1756827900,1.33436,1.33582,1.33402,1.33518,1622
1756828800,1.33519,1.33681,1.33425,1.33675,1554
1756829700,1.33674,1.33723,1.33643,1.33703,903
1756830600,1.33702,1.33892,1.33656,1.33876,1406
1756831500,1.33879,1.33960,1.33854,1.33898,1415
1756832400,1.33900,1.34185,1.33900,1.34164,2400
1756833300,1.34163,1.34167,1.34032,1.34089,1655
1756834200,1.34090,1.34135,1.33983,1.34070,1463
1756835100,1.34071,1.34115,1.33934,1.33971,1686
1756836000,1.33972,1.34001,1.33817,1.33843,1233
1756836900,1.33844,1.33898,1.33786,1.33876,1128
1756837800,1.33875,1.33904,1.33744,1.33824,1471
1756838700,1.33825,1.33915,1.33825,1.33897,1067
1756839600,1.33896,1.33926,1.33839,1.33913,1010
1756840500,1.33911,1.33923,1.33833,1.33866,944
1756841400,1.33865,1.33888,1.33834,1.33864,622
1756842300,1.33865,1.33928,1.33864,1.33923,672
1756843200,1.33925,1.33941,1.33844,1.33865,698
1756844100,1.33866,1.33907,1.33850,1.33895,512
1756845000,1.33896,1.33934,1.33874,1.33905,535
1756845900,1.33904,1.33911,1.33841,1.33843,681
1756846800,1.33842,1.33867,1.33806,1.33838,723
1756847700,1.33839,1.33844,1.33751,1.33772,486
1756848600,1.33773,1.33785,1.33761,1.33763,308
1756849500,1.33764,1.33792,1.33750,1.33792,423
1756850400,1.33793,1.33835,1.33790,1.33823,590
1756851300,1.33822,1.33888,1.33814,1.33874,513
1756852200,1.33873,1.33892,1.33869,1.33883,501
1756853100,1.33882,1.33912,1.33878,1.33904,346
1756854000,1.33905,1.33957,1.33905,1.33933,206
1756854900,1.33934,1.33943,1.33904,1.33922,176
1756855800,1.33921,1.33935,1.33904,1.33935,112
1756856700,1.33934,1.33947,1.33926,1.33944,265
1756857600,1.33894,1.33895,1.33860,1.33875,24
1756858500,1.33873,1.33889,1.33840,1.33889,54
1756859400,1.33889,1.33890,1.33873,1.33886,64
1756860300,1.33886,1.33922,1.33886,1.33922,82
1756861200,1.33922,1.33953,1.33914,1.33945,114
1756862100,1.33945,1.33946,1.33937,1.33941,54
1756863000,1.33941,1.33943,1.33934,1.33934,36
1756863900,1.33934,1.33934,1.33863,1.33866,131
1756864800,1.33866,1.33876,1.33848,1.33856,168
1756865700,1.33857,1.33872,1.33849,1.33861,86
1756866600,1.33861,1.33864,1.33845,1.33845,84
1756867500,1.33844,1.33854,1.33815,1.33815,191
1756868400,1.33814,1.33834,1.33753,1.33763,447
1756869300,1.33764,1.33782,1.33743,1.33754,389
1756870200,1.33753,1.33784,1.33733,1.33735,359
1756871100,1.33737,1.33758,1.33723,1.33758,529
1756872000,1.33759,1.33780,1.33710,1.33734,636
1756872900,1.33735,1.33738,1.33689,1.33707,532
1756873800,1.33708,1.33739,1.33695,1.33713,529
1756874700,1.33712,1.33726,1.33674,1.33695,489
1756875600,1.33694,1.33739,1.33681,1.33704,450
1756876500,1.33703,1.33751,1.33703,1.33712,386
1756877400,1.33710,1.33714,1.33634,1.33665,518
1756878300,1.33666,1.33687,1.33654,1.33654,434
1756879200,1.33655,1.33704,1.33654,1.33684,439
1756880100,1.33682,1.33688,1.33644,1.33645,385
1756881000,1.33644,1.33658,1.33633,1.33643,363
1756881900,1.33640,1.33656,1.33616,1.33616,243
1756882800,1.33617,1.33671,1.33607,1.33666,384
1756883700,1.33667,1.33687,1.33655,1.33655,409
1756884600,1.33654,1.33697,1.33654,1.33695,285
1756885500,1.33696,1.33707,1.33674,1.33692,224
1756886400,1.33691,1.33707,1.33677,1.33691,258
1756887300,1.33692,1.33738,1.33681,1.33710,353
1756888200,1.33712,1.33712,1.33621,1.33631,437
1756889100,1.33632,1.33636,1.33592,1.33623,484
1756890000,1.33622,1.33704,1.33619,1.33696,643
1756890900,1.33697,1.33786,1.33679,1.33786,577
1756891800,1.33789,1.33908,1.33789,1.33876,862
1756892700,1.33871,1.33871,1.33737,1.33767,679
1756893600,1.33765,1.33805,1.33623,1.33639,1143
1756894500,1.33638,1.33657,1.33334,1.33495,1948
1756895400,1.33496,1.33607,1.33455,1.33506,1404
1756896300,1.33507,1.33673,1.33503,1.33663,1371
1756897200,1.33662,1.33830,1.33661,1.33816,1432
1756898100,1.33817,1.33932,1.33807,1.33896,1115
1756899000,1.33895,1.33925,1.33790,1.33856,1030
1756899900,1.33857,1.34093,1.33855,1.34071,1322
1756900800,1.34070,1.34174,1.34047,1.34052,1234
1756901700,1.34050,1.34109,1.34023,1.34050,893
1756902600,1.34049,1.34140,1.34028,1.34125,1083
1756903500,1.34124,1.34156,1.34054,1.34079,891
1756904400,1.34078,1.34095,1.34038,1.34076,757
1756905300,1.34078,1.34113,1.34051,1.34086,654
1756906200,1.34085,1.34093,1.33978,1.33978,791
1756907100,1.33977,1.34044,1.33950,1.34040,691
1756908000,1.34041,1.34056,1.33976,1.34014,804
1756908900,1.34016,1.34048,1.33979,1.33994,596
1756909800,1.33995,1.34058,1.33995,1.34040,641
1756910700,1.34038,1.34126,1.34017,1.34117,839
1756911600,1.34116,1.34174,1.34106,1.34172,820
1756912500,1.34173,1.34193,1.34104,1.34166,856
1756913400,1.34167,1.34226,1.34097,1.34101,1068
1756914300,1.34102,1.34294,1.34088,1.34247,1361
1756915200,1.34246,1.34260,1.34176,1.34257,1323
1756916100,1.34258,1.34289,1.34207,1.34285,1092
1756917000,1.34284,1.34366,1.34130,1.34196,1707
1756917900,1.34197,1.34208,1.34103,1.34165,1640
1756918800,1.34162,1.34432,1.34154,1.34354,2801
1756919700,1.34356,1.34467,1.34355,1.34396,1726
1756920600,1.34395,1.34445,1.34330,1.34412,1566
1756921500,1.34413,1.34424,1.34250,1.34336,1577
1756922400,1.34335,1.34456,1.34302,1.34408,1482
1756923300,1.34409,1.34508,1.34381,1.34492,1029
1756924200,1.34494,1.34523,1.34472,1.34477,1221
1756925100,1.34478,1.34541,1.34446,1.34477,1042
1756926000,1.34478,1.34509,1.34453,1.34507,1132
1756926900,1.34508,1.34515,1.34440,1.34498,671
1756927800,1.34500,1.34518,1.34464,1.34467,521
1756928700,1.34465,1.34521,1.34458,1.34499,585
1756929600,1.34500,1.34576,1.34500,1.34564,575
1756930500,1.34565,1.34583,1.34542,1.34572,527
1756931400,1.34571,1.34577,1.34474,1.34482,629
1756932300,1.34480,1.34480,1.34390,1.34414,471
1756933200,1.34413,1.34476,1.34382,1.34456,662
1756934100,1.34457,1.34469,1.34429,1.34450,505
1756935000,1.34449,1.34460,1.34393,1.34431,581
1756935900,1.34432,1.34453,1.34413,1.34417,490
1756936800,1.34416,1.34417,1.34373,1.34374,455
1756937700,1.34373,1.34385,1.34347,1.34378,484
1756938600,1.34380,1.34409,1.34375,1.34397,485
1756939500,1.34396,1.34412,1.34384,1.34385,420
1756940400,1.34384,1.34427,1.34383,1.34427,135
1756941300,1.34426,1.34450,1.34415,1.34449,131
1756942200,1.34448,1.34457,1.34427,1.34434,185
1756943100,1.34435,1.34435,1.34407,1.34410,177
1756944000,1.34350,1.34439,1.34350,1.34410,39
1756944900,1.34410,1.34415,1.34355,1.34355,53
1756945800,1.34355,1.34398,1.34355,1.34397,141
1756946700,1.34396,1.34417,1.34374,1.34395,260
1756947600,1.34395,1.34420,1.34383,1.34402,124
1756948500,1.34402,1.34405,1.34392,1.34392,43
1756949400,1.34391,1.34416,1.34391,1.34416,84
1756950300,1.34416,1.34419,1.34387,1.34388,62
1756951200,1.34388,1.34422,1.34387,1.34418,88
1756952100,1.34419,1.34427,1.34412,1.34419,117
1756953000,1.34418,1.34418,1.34380,1.34402,100
1756953900,1.34402,1.34415,1.34395,1.34409,168
1756954800,1.34412,1.34422,1.34361,1.34414,670
1756955700,1.34413,1.34424,1.34396,1.34404,433
1756956600,1.34403,1.34414,1.34379,1.34399,452
1756957500,1.34396,1.34440,1.34386,1.34422,513
1756958400,1.34421,1.34429,1.34334,1.34369,554
1756959300,1.34368,1.34391,1.34358,1.34384,502
1756960200,1.34385,1.34502,1.34382,1.34408,823
1756961100,1.34410,1.34420,1.34343,1.34375,484
1756962000,1.34374,1.34378,1.34319,1.34319,468
1756962900,1.34318,1.34359,1.34313,1.34343,393
1756963800,1.34342,1.34365,1.34314,1.34326,478
1756964700,1.34327,1.34332,1.34293,1.34311,498
1756965600,1.34310,1.34331,1.34272,1.34276,507
1756966500,1.34275,1.34301,1.34266,1.34293,344
1756967400,1.34291,1.34313,1.34267,1.34292,274
1756968300,1.34293,1.34296,1.34260,1.34281,255
1756969200,1.34282,1.34301,1.34270,1.34271,166
1756970100,1.34272,1.34289,1.34265,1.34268,231
1756971000,1.34266,1.34308,1.34255,1.34296,206
1756971900,1.34297,1.34300,1.34266,1.34269,212
1756972800,1.34268,1.34281,1.34240,1.34270,205
1756973700,1.34269,1.34290,1.34258,1.34290,297
1756974600,1.34289,1.34301,1.34269,1.34291,312
1756975500,1.34292,1.34294,1.34255,1.34283,341
1756976400,1.34282,1.34342,1.34282,1.34321,467
1756977300,1.34322,1.34351,1.34301,1.34316,387
1756978200,1.34314,1.34341,1.34284,1.34339,441
1756979100,1.34338,1.34411,1.34322,1.34356,668
1756980000,1.34355,1.34384,1.34295,1.34317,1091
1756980900,1.34314,1.34319,1.34165,1.34279,1014
1756981800,1.34280,1.34305,1.34249,1.34288,745
1756982700,1.34289,1.34332,1.34235,1.34271,712
1756983600,1.34270,1.34440,1.34267,1.34390,706
1756984500,1.34389,1.34459,1.34389,1.34429,610
1756985400,1.34428,1.34568,1.34407,1.34519,984
1756986300,1.34520,1.34548,1.34490,1.34541,577
1756987200,1.34540,1.34594,1.34468,1.34484,774
1756988100,1.34485,1.34503,1.34345,1.34345,701
1756989000,1.34346,1.34406,1.34340,1.34375,703
1756989900,1.34374,1.34428,1.34369,1.34399,603
1756990800,1.34400,1.34511,1.34377,1.34509,656
1756991700,1.34508,1.34516,1.34461,1.34473,665
1756992600,1.34472,1.34560,1.34466,1.34539,576
1756993500,1.34538,1.34540,1.34483,1.34488,552
1756994400,1.34487,1.34490,1.34377,1.34387,646
1756995300,1.34384,1.34412,1.34337,1.34348,386
1756996200,1.34350,1.34363,1.34304,1.34319,587
1756997100,1.34322,1.34347,1.34255,1.34334,826
1756998000,1.34336,1.34482,1.34325,1.34420,875
1756998900,1.34414,1.34546,1.34289,1.34289,1517
1756999800,1.34288,1.34460,1.34220,1.34305,1990
1757000700,1.34306,1.34414,1.34248,1.34411,1571
1757001600,1.34410,1.34444,1.34266,1.34272,1428
1757002500,1.34273,1.34445,1.34258,1.34412,1255
1757003400,1.34411,1.34470,1.34392,1.34452,1233
1757004300,1.34453,1.34466,1.34369,1.34405,1209
1757005200,1.34400,1.34400,1.34209,1.34329,2566
1757006100,1.34330,1.34341,1.34254,1.34284,1868
1757007000,1.34285,1.34309,1.34178,1.34186,1218
1757007900,1.34187,1.34277,1.34171,1.34272,1207
1757008800,1.34271,1.34330,1.34260,1.34291,1047
1757009700,1.34292,1.34342,1.34276,1.34341,518
1757010600,1.34340,1.34353,1.34313,1.34349,697
1757011500,1.34350,1.34409,1.34349,1.34386,518
1757012400,1.34385,1.34395,1.34232,1.34238,816
1757013300,1.34239,1.34282,1.34176,1.34200,696
1757014200,1.34200,1.34275,1.34191,1.34239,595
1757015100,1.34239,1.34242,1.34198,1.34215,486
1757016000,1.34214,1.34233,1.34189,1.34221,465
1757016900,1.34222,1.34261,1.34222,1.34252,355
1757017800,1.34254,1.34266,1.34208,1.34231,470
1757018700,1.34232,1.34243,1.34192,1.34222,440
1757019600,1.34223,1.34313,1.34223,1.34309,500
1757020500,1.34308,1.34312,1.34271,1.34312,485
